,box_coord,obj_contour
0,[[ 30 137  49 349]],"[[  8.54082661  11.87852823   1.86542339   1.56199597  31.60131048
   27.65675403  23.71219758  18.85735887  18.85735887  31.60131048
   47.68296371  51.32409274  59.51663306  60.1234879   56.78578629
   78.02570565  91.07308468 178.46018145 179.97731855 222.15372984
  225.79485887 239.75252016 265.84727823 298.92086694 300.13457661
  298.3140121  265.54385081 264.63356855 270.39868952 268.88155242
  265.84727823 264.02671371 260.08215726 255.83417339 257.6547379
  261.90272177 261.90272177 160.25453629 160.25453629 156.00655242
  155.39969758 149.33114919 142.04889113 139.31804435 139.92489919
  143.26260081 136.28377016 128.09122984 124.45010081 123.53981855
  122.93296371 117.47127016  73.77772177  68.61945565  44.95211694
   38.27671371  36.15272177   8.23739919   8.54082661]
 [ 75.89163306  62.54082661  59.80997984  56.77570565  51.01058468
   35.23235887  11.26159274  10.35131048   6.10332661   1.2484879
    3.37247984  12.171875    12.47530242  19.15070565  18.54385081
   47.97631048  51.3140121   49.19002016  44.03175403  45.54889113
   51.3140121   55.25856855  72.85735887  85.60131048  90.15272177
   90.75957661  92.58014113  94.09727823  95.3109879  100.77268145
  101.37953629 104.7172379  105.93094758 102.28981855  95.3109879
   94.70413306  91.66985887  90.15272177  97.13155242  97.73840726
  102.89667339 105.32409274 104.7172379   97.43497984  93.79385081
   91.36643145  88.9390121   88.33215726  92.88356855  92.58014113
   88.63558468  86.81502016  83.78074597  85.9047379   82.87046371
   85.60131048  80.13961694  75.28477823  75.58820565]]"
1,[[ 35 153  59 342]],"[[  6.08266129   6.65524194  10.37701613   1.78830645  18.39314516
   18.96572581  17.53427419  18.10685484  19.53830645  21.25604839
   49.3125      52.74798387  62.19556452 106.85685484 122.31653226
  180.43346774 203.05040323 220.5141129  266.89314516 266.89314516
  269.18346774 272.04637097 282.6391129  281.78024194 272.33266129
  273.19153226 270.32862903 268.89717742 266.60685484 260.30846774
  255.72782258 255.72782258 251.14717742 250.28830645 236.26008065
  241.69959677 249.42943548 248.85685484 245.42137097 237.97782258
  235.6875     235.6875     237.69153226 237.97782258 232.53830645
  204.76814516 204.19556452 197.03830645 192.45766129 190.45362903
  179.28830645 179.00201613 179.28830645 186.15927419 185.0141129
  180.43346774 173.84879032 170.12701613 170.41330645 175.28024194
  175.28024194 169.55443548 164.40120968 162.96975806 162.96975806
  127.75604839 122.31653226 118.88104839 104.56653226 103.99395161
  100.84475806 100.84475806  77.94153226  77.94153226  74.21975806
   74.50604839  49.02620968  32.42137097  27.84072581   6.65524194
    6.65524194]
 [ 58.1391129   54.98991935  54.41733871  37.23991935  37.8125
   32.37298387  32.37298387  21.78024194  21.20766129   2.59879032
    3.17137097   5.74798387  32.94556452  42.10685484  41.82056452
   24.92943548  30.65524194  44.1108871   54.70362903  28.36491935
   27.50604839  54.98991935  60.14314516  62.14717742  67.87298387
   95.07056452  95.07056452  67.87298387  68.15927419  74.45766129
   77.03427419  85.33669355  85.33669355  80.18346774  81.32862903
   97.93346774 103.94556452 108.8125     112.82056452 112.53427419
  109.09879032 102.80040323 100.22379032  96.21572581  83.04637097
   83.61895161  86.48185484  86.48185484  86.48185484  85.62298387
   85.90927419  96.50201613 101.36895161 106.2358871  113.96572581
  117.40120968 116.54233871 112.53427419 106.2358871  101.36895161
   97.64717742  97.64717742  94.78427419  89.63104839  85.90927419
   81.04233871  78.17943548  78.17943548  77.89314516  80.75604839
   79.6108871   76.46169355  73.3125      77.32056452  76.46169355
   73.02620968  70.7358871   65.29637097  67.30040323  58.42540323
   58.42540323]]"
2,[[ 36 135  47 331]],"[[  1.79284274  15.58316532  15.87046371  13.57207661  13.57207661
   14.72127016  15.00856855  42.8765121   50.05897177  50.63356855
   61.26360887 108.09324597 126.19304435 128.20413306 130.50252016
  163.54183468 179.34324597 190.26058468 194.85735887 204.62550403
  225.88558468 271.27872984 274.72631048 276.45010081 277.02469758
  275.87550403 282.48336694 283.63256048 276.73739919 270.70413306
  261.79788306 261.51058468 256.91381048 256.05191532 239.38860887
  248.86945565 254.04082661 258.06300403 257.20110887 249.73135081
  244.84727823 243.69808468 245.421875   235.65372984 211.80796371
  206.34929435 202.32711694 203.1890121  192.55897177 195.14465726
  203.1890121  206.34929435 204.91280242 200.31602823 193.42086694
  189.97328629 190.26058468 191.69707661 185.08921371 172.16078629
  172.16078629 176.18296371 177.33215726 177.61945565 174.74647177
  168.71320565 163.54183468 161.53074597 162.39264113 161.24344758
  152.91179435 152.04989919 148.88961694 148.88961694 126.76764113
  123.0327621  122.45816532 108.09324597 107.23135081 104.07106855
  104.07106855  82.23639113  82.8109879   79.65070565  79.65070565
   41.44002016  34.25756048  29.08618952  19.03074597   9.54989919
    6.96421371   7.53881048   9.83719758   1.79284274   1.79284274]
 [ 51.21824597  50.64364919  37.71522177  36.27872984  23.63760081
   22.48840726   2.95211694   2.09022177   6.11239919  11.85836694
   34.55493952  38.86441532  33.98034274  29.67086694  32.25655242
   18.17893145  13.86945565  12.14566532  16.16784274  17.0297379
   31.39465726  35.99143145  12.7202621   12.43296371  23.92489919
   35.41683468  38.86441532  42.59929435  47.48336694  47.48336694
   56.96421371  64.72127016  64.72127016  60.98639113  64.72127016
   83.68296371  83.10836694  88.56703629  94.60030242  96.03679435
   94.31300403  87.99243952  84.54485887  65.00856855  69.89264113
   80.80997984  80.80997984  71.90372984  73.34022177  82.24647177
   83.39566532  90.86542339  96.32409274  99.77167339  98.62247984
   94.31300403  88.85433468  84.54485887  75.0640121   74.77671371
   77.64969758  80.80997984  85.69405242  90.29082661  95.46219758
   96.32409274  93.45110887  89.14163306  81.38457661  76.78780242
   76.21320565  79.3734879   77.64969758  75.35131048  75.0640121
   79.08618952  74.77671371  74.20211694  77.36239919  76.78780242
   73.62752016  73.62752016  77.64969758  76.78780242  74.20211694
   72.47832661  71.04183468  72.765625    68.74344758  67.01965726
   63.859375    62.42288306  62.13558468  50.93094758  50.93094758]]"
3,[[ 24 141  47 342]],"[[  2.73790323  17.65725806  17.95564516  15.56854839  14.0766129
   29.29435484  44.51209677  41.52822581  60.3266129   97.625
   95.23790323 105.97983871 115.8266129  157.60080645 185.05241935
  201.76209677 204.74596774 221.75403226 283.81854839 293.66532258
  281.13306452 265.61693548 239.95564516 248.90725806 256.66532258
  260.84274194 260.84274194 256.96370968 249.50403226 244.43145161
  246.22177419 246.81854839 236.97177419 225.93145161 217.875
  208.3266129  197.28629032 186.84274194 181.47177419 181.1733871
  182.36693548 187.43951613 191.02016129 192.21370968 189.22983871
  183.26209677 177.89112903 173.41532258 166.55241935 160.58467742
  159.39112903 162.6733871  165.06048387 166.25403226 165.65725806
  154.02016129 149.54435484 149.24596774 143.27822581 142.38306452
  119.70564516 115.22983871 112.84274194 111.05241935  93.44758065
   91.95564516  90.16532258  89.56854839  38.24596774  10.79435484
    8.70564516   4.52822581   2.14112903   2.14112903]
 [ 65.16935484  61.88709677  58.00806452  57.11290323  12.35483871
   11.45967742  49.35483871  54.12903226  51.14516129  45.77419355
   22.7983871   22.2016129   40.7016129   24.29032258  21.30645161
   22.7983871   26.08064516  39.50806452  46.07258065  52.33870968
   59.2016129   69.94354839  79.49193548  96.2016129   98.88709677
  105.15322581 111.12096774 112.61290323 112.61290323 106.94354839
  100.97580645  98.29032258  79.19354839  79.49193548  80.98387097
   82.77419355  84.86290323  85.45967742  86.05645161  92.91935484
   94.41129032  94.41129032 100.08064516 106.94354839 110.22580645
  111.12096774 110.52419355 115.         116.19354839 112.01612903
  105.75        99.78225806  97.99193548  97.99193548  89.63709677
   88.14516129  91.72580645  88.74193548  92.32258065  88.74193548
   87.25        87.25        91.72580645  86.05645161  84.86290323
   89.04032258  88.74193548  84.26612903  83.96774194  79.49193548
   81.28225806  80.98387097  65.46774194  65.16935484]]"
4,[[ 18 146  48 339]],"[[  2.70766129  23.60685484  27.43346774  33.32056452  51.86491935
   74.2358871  121.33266129 145.7641129  171.66733871 183.44153226
  195.21572581 259.67943548 259.67943548 245.84475806 252.32056452
  265.56653226 271.15927419 282.6391129  273.80846774 290.58669355
  283.22782258 268.80443548 234.07056452 243.19556452 251.4375
  259.67943548 260.5625     254.08669355 251.14314516 240.84072581
  239.95766129 225.82862903 224.0625     238.19153226 229.65524194
  222.88508065 220.82459677 225.23991935 222.88508065 208.16733871
  201.10282258 210.22782258 210.81653226 204.04637097 175.49395161
  174.6108871  197.27620968 202.57459677  60.10685484  43.62298387
   43.91733871  42.15120968  36.2641129   35.38104839  38.32459677
   41.85685484  52.74798387  26.25604839  22.72379032  25.96169355
    3.29637097   3.29637097]
 [ 83.10282258  75.44959677  76.33266129  45.13104839  41.59879032
   66.91330645  51.90120968  41.30443548  38.3608871   41.30443548
   47.4858871   42.1875      39.53830645  13.92943548   3.33266129
   41.30443548  42.1875      48.07459677  57.78830645  85.45766129
   95.46572581  62.20362903  94.58266129 106.94556452 106.94556452
  111.94959677 115.1875     119.89717742 125.19556452 125.48991935
  123.42943548 124.90120968 119.30846774 109.8891129   95.76008065
   98.99798387  96.05443548  91.93346774  86.63508065  88.69556452
  107.53427419 111.94959677 117.24798387 122.54637097 125.48991935
  121.07459677 108.41733871  90.16733871 107.82862903 117.24798387
  121.07459677 125.48991935 124.90120968 120.19153226 116.36491935
  115.1875     109.30040323 111.3608871  106.0625      83.69153226
   82.80846774  82.80846774]]"
5,[[ 24 126  48 344]],"[[  3.94304435  10.5297379   17.71522177  33.88256048  50.64868952
   56.9359879  110.52772177 156.03578629 157.83215726 199.44808468
  201.24445565 209.62752016 212.02268145 228.78881048 229.68699597
  237.171875   258.72832661 276.09324597 294.95514113 295.25453629
  289.56602823 274.89566532 259.92590726 259.32711694 257.23135081
  257.53074597 259.6265121  259.6265121  257.53074597 250.64465726
  248.84828629 250.04586694 253.03981855 253.03981855 207.83114919
  207.53175403 203.04082661 202.44203629 192.56199597 192.56199597
  188.66985887 179.68800403 177.29284274 172.80191532 166.51461694
  165.31703629 164.71824597 155.43699597 155.13760081 150.94606855
  150.94606855 123.70110887 110.82711694  51.546875    35.08014113
   26.39768145  14.421875     3.34425403   3.64364919   3.64364919]
 [ 45.71270161  45.41330645   4.09677419   2.30040323  35.83266129
   37.3296371   55.59274194  54.09576613  55.59274194  46.01209677
   46.31149194  46.31149194  49.00604839  50.20362903  52.59879032
   53.49697581  54.09576613  61.58064516  70.5625      75.65221774
   80.74193548  84.93346774  87.02923387  90.32258065  90.32258065
   92.11895161  93.61592742  96.60987903  98.40625     99.60383065
   95.41229839  91.22076613  90.92137097  89.125       91.81955645
   95.41229839  95.71169355  92.41834677  92.41834677  97.80745968
   99.60383065 100.20262097  97.50806452  99.90322581 100.20262097
   96.90927419  94.21471774  93.61592742  97.20866935  97.20866935
   94.21471774  93.91532258  87.92741935  72.65826613  56.49092742
   56.49092742  60.98185484  62.17943548  45.41330645  45.41330645]]"
6,[[ 23 122  49 344]],"[[  0.64919355   5.72177419  10.49596774  28.39919355  31.68145161
   39.43951613  49.28629032  54.95564516 173.41532258 177.59274194
  195.79435484 211.90725806 212.20564516 235.77822581 238.76209677
  228.61693548 245.3266129  248.01209677 270.39112903 276.35887097
  281.13306452 293.06854839 293.66532258 281.43145161 271.58467742
  270.68951613 267.10887097 266.51209677 259.64919355 259.64919355
  250.69758065 242.93951613 199.0766129  199.6733871  201.16532258
  198.77822581 193.70564516 186.84274194 186.24596774 187.73790323
  183.26209677 182.66532258 176.69758065 169.83467742 170.43145161
  136.41532258 112.24596774 102.10080645 100.31048387 102.39919355
   41.22983871   1.24596774   0.64919355   0.94758065]
 [ 54.67741935   7.83064516   2.75806452   3.9516129   14.69354839
   14.69354839  43.04032258  48.11290323  49.90322581  49.90322581
   42.44354839  41.5483871   40.05645161  39.45967742  39.16129032
   49.30645161  45.72580645  43.04032258  42.74193548  46.91935484
   54.08064516  60.94354839  76.75806452  84.21774194  88.39516129
   90.78225806  92.57258065  95.55645161  94.06451613  91.37903226
   91.37903226  88.99193548  89.58870968  94.06451613  96.4516129
   97.64516129  97.94354839  96.4516129   93.16935484  91.08064516
   90.18548387  93.46774194  94.06451613  94.06451613  90.78225806
   89.29032258  83.32258065  76.45967742  71.68548387  66.91129032
   61.24193548  57.66129032  54.37903226  53.78225806]]"
7,[[ 29 119  51 344]],"[[  2.13004032  15.1703629   13.3921371    7.16834677   1.24092742
    1.24092742   5.39012097   4.2046371   22.87600806  30.28528226
   36.50907258  56.36592742  92.52318548 113.56552419 175.80342742
  183.80544355 199.21673387 251.97076613 251.97076613 255.82358871
  256.71270161 268.86391129 291.38810484 291.38810484 276.56955645
  276.56955645 270.34576613 267.38205645 267.38205645 198.03125
  190.62197581 158.02116935 155.65020161 145.57358871 143.20262097
  120.67842742  75.63004032   2.72278226   2.13004032   3.01915323]
 [ 49.85282258  49.26008065  36.8125      12.51008065  11.32459677
    7.76814516   4.80443548   2.43346774   2.72983871   9.25
   23.17943548  37.40524194  48.07459677  47.18548387  46.29637097
   43.92540323  51.63104839  54.00201613  50.14919355  50.14919355
   55.1875      55.48387097  72.6733871   78.30443548  82.75
   87.19556452  89.56653226  87.19556452  83.34274194  83.34274194
   80.08266129  85.41733871  88.08467742  88.97379032  83.34274194
   77.11895161  75.34072581  54.00201613  49.85282258  49.26008065]]"
8,[[ 29 137  50 344]],"[[  2.13558468  21.16784274  20.87046371   1.54082661  22.35735887
   63.69304435  67.26159274  66.36945565  73.80393145  80.64364919
  100.27066532 100.27066532  97.296875   109.48941532 115.734375
  114.8422379  151.12247984 133.2797379  162.42288306 257.88155242
  265.61340726 266.20816532 233.49647177 234.6859879  240.03881048
  281.07711694 284.64566532 283.75352823 287.32207661 287.91683468
  292.67489919 293.26965726 287.91683468 284.94304435 283.75352823
  281.671875   270.66885081 259.07106855 258.77368952 264.1265121
  270.66885081 260.85534274 251.63659274 239.74143145 249.55493952
  255.50252016 254.61038306 248.06804435 241.52570565 241.52570565
  238.84929435 232.00957661 231.71219758 228.14364919 217.43800403
  213.27469758 211.19304435 203.75856855 208.51663306 209.11139113
  199.89264113 181.75252016 164.80191532 172.83114919 182.04989919
  184.42893145 184.42893145 171.64163306 179.07610887 178.48135081
  103.54183468  30.98135081  19.68094758   3.32510081   3.02772177]
 [ 61.83971774  55.59475806  48.16028226   1.76915323   3.55342742
   39.23891129  39.53629032  30.02016129  29.72278226  39.53629032
   40.72580645  35.6703629   30.61491935  29.12802419  33.88608871
   41.61794355  37.4546371   28.83064516  22.88306452  13.06955645
   18.125       22.58568548  32.99395161  38.94153226  44.29435484
   47.86290323  48.16028226  10.98790323  46.07862903  48.75504032
   50.24193548  56.78427419  60.35282258  88.90120968  89.49596774
   66.89516129  79.38508065  82.65625     88.30645161  88.90120968
   95.74092742 104.06754032 102.58064516  94.84879032  92.46975806
   89.49596774  83.84576613  83.84576613  84.44052419  90.9828629
   84.44052419  86.22479839  94.25403226  87.11693548  88.00907258
   85.63004032  83.84576613  92.46975806  96.63306452 100.49899194
  106.14919355 105.55443548 100.79637097  94.25403226  91.875
   90.09072581  87.11693548  87.11693548  81.46673387  78.49294355
   73.4375      66.00302419  62.43447581  62.43447581  61.83971774]]"
9,[[ 32 106  55 335]],"[[  1.49143145  15.08820565  15.37147177  20.4702621   28.96824597
   32.65070565  35.20010081  37.46622984  36.89969758  41.71522177
   50.21320565  58.14465726  59.5609879   76.84022177  94.40272177
   88.73739919  89.87046371  93.83618952  94.40272177  98.93497984
  100.63457661 101.484375   102.90070565 108.84929435 112.53175403
  113.66481855 170.60131048 171.45110887 175.41683468 175.41683468
  191.56300403 191.2797379  195.52872984 195.52872984 202.89364919
  208.55897177 229.80393145 247.36643145 250.19909274 268.61139113
  274.27671371 278.24243952 278.24243952 258.13054435 241.70110887
  232.07006048 232.07006048 227.25453629 213.37449597 208.8422379
  209.69203629 211.95816532 211.95816532 203.46018145 205.72631048
  205.44304435 197.51159274 189.86340726 184.76461694 187.59727823
  187.59727823 188.16381048 127.26159274  73.44102823  46.24747984
   47.38054435  49.36340726  46.24747984  40.015625    38.0327621
   40.015625    40.015625    22.73639113   7.15675403   0.92489919
    1.49143145]
 [ 44.51512097  37.43346774  20.15423387  10.23991935  10.23991935
   15.62197581  28.36895161  28.08568548  16.75504032   6.84072581
    6.84072581  24.40322581  30.35181452  25.81955645  20.15423387
   15.33870968  14.48891129  17.03830645  16.47177419  16.18850806
   13.6391129   16.47177419  21.28729839  18.73790323  18.73790323
   21.28729839  13.6391129   10.23991935  10.23991935  14.20564516
   12.50604839   9.95665323   9.6733871   12.50604839  10.80645161
    7.97379032   3.44153226   4.57459677   7.40725806   7.40725806
   10.80645161  21.85383065  31.2016129   39.13306452  55.5625
   57.82862903  66.3266129   72.84173387  72.84173387  66.3266129
   59.81149194  56.69556452  53.86290323  54.99596774  60.66129032
   67.45967742  72.27520161  71.1421371   63.49395161  56.69556452
   55.5625      52.44657258  57.82862903  58.96169355  58.39516129
   62.07762097  65.76008065  68.59274194  67.74294355  63.77721774
   60.09475806  58.39516129  55.5625      55.5625      44.51512097
   43.94858871]]"
